edad,segmento,saldo_total,numero_productos,visitas_app_mes,usa_web,usa_tarjeta_credito,reclamos_6m,satisfaccion_encuesta,tasa_credito_personal,rango_ingresos,region,cerrara_cuenta
41,Preferente,0.0,3,10,1,1,1,3.8,36.18,Bajo,Selva,0
69,Preferente,18791.0,1,9,1,1,0,4.6,30.2,Medio,Costa,0
28,Estándar,7504.16,4,2,0,0,1,1.9,23.59,Medio,Sierra,1
66,Preferente,33730.85,2,4,1,1,0,3.4,23.48,Medio,Costa,0
25,Estándar,11756.9,1,5,1,1,1,2.7,38.01,Bajo,Costa,1
53,Estándar,18248.51,5,5,1,1,0,2.5,46.61,Bajo,Selva,0
55,Estándar,10466.63,2,6,0,0,0,1.4,31.84,Muy Alto,Sierra,1
57,Estándar,46082.77,3,3,0,0,0,1.5,30.55,Bajo,Costa,1
37,Estándar,15181.36,2,5,1,0,1,4.3,40.58,Medio,Costa,0
52,Estándar,47488.36,2,10,0,0,0,4.0,29.51,Bajo,Sierra,0
65,Preferente,32212.28,3,5,1,1,0,2.5,37.2,Bajo,Selva,0
42,Estándar,27231.0,3,4,1,0,0,4.3,35.33,Bajo,Sierra,0
52,Estándar,25531.0,2,6,0,1,2,1.3,31.72,Medio,Sierra,0
42,Estándar,25906.96,3,3,1,0,0,3.5,34.88,Muy Alto,Costa,0
46,Estándar,0.0,1,7,1,0,1,4.5,49.11,Medio,Selva,0
35,Estándar,15816.75,3,4,0,1,0,4.4,39.84,Medio,Sierra,0
63,Estándar,32677.37,3,7,1,1,0,2.5,43.74,Medio,Sierra,0
35,Preferente,19266.54,2,3,0,1,0,4.0,27.65,Medio,Sierra,0
19,Preferente,0.0,1,6,1,1,1,2.7,43.77,Muy Alto,Sierra,0
71,Preferente,19213.93,4,6,1,1,1,4.4,40.11,Medio,Selva,0
52,Estándar,45561.58,4,4,1,1,0,3.1,23.0,Medio,Sierra,0
33,Estándar,38703.38,5,8,1,1,2,4.1,39.32,Medio,Selva,0
58,Preferente,19069.94,3,9,1,0,0,1.3,30.89,Alto,Sierra,0
53,Estándar,34271.74,3,1,0,1,1,3.4,22.63,Medio,Sierra,0
50,Estándar,14502.39,1,6,1,0,0,3.2,36.04,Bajo,Selva,0
21,Estándar,0.0,4,4,1,1,1,3.4,39.31,Bajo,Costa,1
50,Estándar,6133.01,5,9,1,0,1,3.8,36.21,Muy Alto,Costa,0
31,Estándar,43443.33,1,6,1,1,0,4.7,34.13,Alto,Sierra,1
38,Estándar,15890.1,3,4,1,1,0,4.1,32.36,Bajo,Selva,0
65,Estándar,16349.24,4,6,1,0,1,1.9,54.73,Alto,Costa,0
37,Estándar,15502.43,5,3,1,1,0,4.3,25.54,Medio,Costa,0
73,Preferente,48562.05,2,6,1,0,0,1.5,41.98,Medio,Costa,0
25,Preferente,44389.38,4,10,1,0,0,3.5,35.12,Bajo,Costa,0
24,Preferente,53281.7,5,8,1,1,1,4.5,28.16,Alto,Costa,0
20,Preferente,17614.32,1,7,1,1,0,1.4,34.61,Bajo,Sierra,0
34,Premium,24434.37,2,2,1,1,1,4.4,23.86,Alto,Selva,0
50,Estándar,0.0,5,2,0,1,1,4.2,30.24,Bajo,Sierra,0
65,Estándar,42154.02,5,9,1,1,1,3.0,34.62,Alto,Costa,0
29,Estándar,2483.31,3,9,0,1,0,2.2,22.59,Bajo,Selva,0
68,Preferente,23251.63,4,10,0,1,0,2.6,39.05,Bajo,Sierra,0
39,Preferente,3540.46,3,10,1,0,0,4.9,27.29,Bajo,Costa,0
72,Estándar,11167.0,2,3,1,0,1,1.8,23.39,Bajo,Costa,1
39,Premium,7441.06,5,8,1,0,1,3.3,26.36,Medio,Sierra,0
63,Estándar,10881.87,3,8,1,1,2,1.3,52.41,Bajo,Sierra,0
47,Premium,11913.16,4,8,1,0,0,1.9,19.18,Muy Alto,Sierra,0
55,Estándar,11775.97,2,5,0,0,1,4.1,38.49,Medio,Costa,0
55,Estándar,32500.01,1,4,1,1,0,2.2,28.99,Medio,Selva,0
62,Estándar,3427.06,3,7,1,0,2,4.9,32.2,Bajo,Costa,0
68,Estándar,23308.12,2,6,1,1,0,3.0,39.83,Medio,Sierra,0
71,Estándar,38269.39,1,7,1,0,0,3.1,39.44,Bajo,Sierra,0
25,Estándar,12302.05,3,2,1,0,1,1.1,29.55,Alto,Costa,0
44,Preferente,9231.22,2,4,1,0,0,4.8,24.14,Medio,Costa,0
44,Estándar,16542.13,2,2,0,1,1,1.7,39.98,Alto,Costa,0
51,Estándar,37695.88,3,6,1,1,0,3.2,39.42,Medio,Costa,0
38,Preferente,22911.61,2,4,1,0,1,2.6,32.72,Muy Alto,Costa,0
47,Preferente,12031.79,5,8,1,0,0,2.7,38.54,Bajo,Sierra,0
50,Estándar,27258.15,3,1,1,1,0,3.6,31.43,Bajo,Sierra,1
45,Estándar,3465.62,2,7,1,1,0,3.6,28.38,Medio,Sierra,0
64,Estándar,30220.39,1,2,1,1,1,1.6,35.03,Muy Alto,Sierra,0
50,Estándar,26129.11,1,6,1,1,0,3.0,39.15,Medio,Selva,0
22,Preferente,15382.87,5,6,1,1,0,4.2,37.47,Bajo,Selva,0
65,Estándar,7421.21,3,8,0,1,1,2.8,39.07,Medio,Costa,1
36,Estándar,6699.79,2,5,0,1,0,1.7,28.92,Muy Alto,Sierra,0
21,Preferente,28022.26,2,8,0,1,0,2.3,47.66,Bajo,Costa,0
52,Estándar,38434.71,1,5,0,0,1,1.8,32.26,Bajo,Costa,1
66,Estándar,10440.38,5,9,1,0,0,1.5,34.05,Alto,Sierra,0
34,Estándar,26875.8,1,5,1,0,0,2.5,24.45,Alto,Costa,0
61,Premium,0.0,1,8,0,0,0,3.2,33.45,Alto,Sierra,0
45,Estándar,11230.73,5,2,1,0,3,1.3,39.26,Muy Alto,Costa,0
47,Preferente,19534.12,3,3,0,0,2,3.4,41.1,Bajo,Costa,1
46,Estándar,6354.75,2,2,1,1,0,5.0,47.5,Medio,Selva,1
63,Estándar,5952.4,3,6,0,1,1,4.9,39.16,Medio,Costa,0
70,Preferente,9983.31,4,9,0,1,0,4.3,37.22,Alto,Costa,0
23,Premium,24382.89,4,5,0,1,0,2.1,31.43,Alto,Costa,0
52,Preferente,17190.06,4,0,1,0,0,1.1,29.71,Muy Alto,Selva,0
58,Preferente,0.0,5,11,1,1,0,4.3,42.76,Medio,Costa,0
54,Preferente,0.0,1,3,0,1,0,1.2,42.61,Bajo,Sierra,0
41,Estándar,10897.02,3,11,1,0,0,1.8,26.38,Medio,Sierra,0
46,Estándar,26865.3,2,5,0,0,2,3.2,40.78,Medio,Sierra,0
66,Preferente,0.0,4,5,1,0,1,1.7,40.2,Bajo,Selva,0
63,Estándar,12504.05,3,4,1,0,0,4.3,26.09,Alto,Costa,0
70,Preferente,12106.28,4,10,0,0,0,4.1,39.32,Bajo,Selva,0
48,Premium,40825.07,4,5,1,0,1,4.0,26.6,Bajo,Sierra,0
52,Estándar,14224.67,2,4,1,0,1,4.3,15.57,Medio,Costa,0
50,Estándar,25744.83,5,3,1,0,1,1.9,33.72,Alto,Costa,1
69,Preferente,22118.86,1,4,1,1,1,3.9,37.06,Medio,Selva,0
38,Estándar,0.0,5,7,1,0,0,2.4,34.08,Alto,Sierra,1
49,Preferente,31523.11,3,3,1,0,0,3.7,57.94,Medio,Sierra,0
40,Estándar,23230.95,5,4,1,1,1,1.5,38.03,Bajo,Sierra,1
50,Preferente,27624.03,3,10,1,1,2,3.8,36.18,Bajo,Sierra,0
20,Estándar,78893.57,3,4,1,0,0,4.9,38.44,Alto,Costa,0
35,Preferente,0.0,1,8,1,1,0,1.2,31.47,Medio,Costa,0
42,Estándar,45870.45,2,5,1,0,0,1.4,42.44,Muy Alto,Sierra,1
59,Estándar,15688.29,1,3,1,0,3,1.5,37.89,Medio,Costa,1
48,Estándar,24309.93,5,9,1,0,0,2.7,37.52,Medio,Costa,0
71,Preferente,19317.32,3,6,1,1,1,2.2,30.01,Medio,Sierra,0
20,Preferente,13636.45,4,8,1,0,1,4.2,22.49,Bajo,Costa,0
57,Estándar,11452.51,4,5,0,1,0,2.9,30.99,Medio,Costa,1
63,Estándar,24942.63,3,4,1,0,1,2.9,37.26,Medio,Selva,0
41,Estándar,0.0,1,8,1,1,0,3.9,31.44,Alto,Sierra,1
67,Preferente,31258.69,2,4,1,0,2,2.4,37.33,Bajo,Costa,0
49,Preferente,13757.08,1,7,0,1,1,2.4,33.14,Bajo,Selva,1
64,Estándar,3048.96,3,7,0,1,0,4.0,38.44,Bajo,Sierra,0
39,Estándar,13249.81,3,6,1,1,0,4.1,27.19,Bajo,Costa,0
40,Estándar,38857.24,2,5,1,0,0,1.1,36.54,Medio,Costa,0
19,Estándar,11969.97,5,9,1,1,0,1.6,29.87,Muy Alto,Costa,0
44,Estándar,25376.8,5,7,1,1,1,1.9,22.69,Medio,Selva,0
59,Premium,9035.66,2,10,1,0,1,2.4,33.68,Alto,Sierra,1
19,Estándar,31368.83,5,4,1,1,0,2.2,47.29,Medio,Sierra,0
43,Preferente,30282.62,4,2,1,1,0,3.7,23.33,Bajo,Selva,0
34,Estándar,47729.13,5,9,1,1,1,4.3,35.96,Bajo,Costa,1
57,Estándar,17366.54,5,10,1,0,0,1.8,41.38,Bajo,Costa,0
50,Preferente,30029.82,5,7,1,1,1,3.3,53.4,Medio,Costa,0
26,Preferente,21471.01,4,3,1,0,0,2.5,31.06,Medio,Costa,0
60,Premium,39438.08,5,6,0,1,1,3.0,29.94,Alto,Sierra,0
71,Estándar,9217.51,4,7,0,1,0,3.5,25.67,Muy Alto,Sierra,0
65,Estándar,31175.08,2,9,1,1,1,4.6,44.12,Medio,Costa,0
56,Preferente,17079.54,1,4,1,0,0,1.8,28.06,Alto,Costa,0
46,Estándar,19037.18,2,8,1,1,0,1.3,32.04,Medio,Costa,0
59,Estándar,21376.29,1,10,0,0,0,3.5,20.21,Bajo,Selva,0
72,Estándar,23783.61,2,9,1,1,0,2.6,42.07,Muy Alto,Sierra,0
43,Estándar,18256.56,1,8,1,1,0,1.7,44.27,Bajo,Sierra,0
52,Preferente,23220.7,1,7,1,1,0,1.5,41.77,Alto,Costa,0
67,Estándar,43671.77,3,6,1,0,0,3.2,22.16,Medio,Costa,0
42,Estándar,34781.75,1,7,1,0,1,2.2,39.86,Medio,Costa,0
41,Estándar,33037.32,1,8,1,0,1,5.0,21.62,Medio,Selva,0
30,Estándar,13166.91,3,4,1,1,0,2.6,35.46,Alto,Sierra,0
24,Estándar,6661.39,5,7,0,0,0,1.8,36.64,Bajo,Sierra,0
74,Estándar,34329.51,5,15,0,1,1,3.5,37.48,Bajo,Sierra,0
53,Estándar,33140.7,3,2,0,1,0,2.0,39.28,Medio,Sierra,0
62,Preferente,42090.06,4,8,1,0,0,3.0,34.94,Bajo,Costa,0
37,Estándar,10940.29,1,8,0,0,0,2.9,19.3,Medio,Costa,0
18,Estándar,16556.77,1,3,0,0,0,2.8,39.28,Alto,Sierra,0
25,Preferente,0.0,3,5,0,0,0,4.2,35.78,Alto,Costa,0
63,Preferente,14112.93,3,4,0,1,0,1.9,27.78,Alto,Costa,0
33,Estándar,34948.56,4,4,1,1,1,4.6,22.44,Muy Alto,Sierra,1
31,Estándar,13002.57,5,3,0,1,1,4.2,47.32,Alto,Selva,0
29,Estándar,29607.2,2,4,1,0,0,2.3,44.85,Muy Alto,Selva,0
68,Preferente,17142.45,5,6,1,1,0,1.7,40.65,Bajo,Costa,0
40,Premium,24860.86,1,11,0,0,0,2.1,29.59,Medio,Costa,0
32,Preferente,2784.63,3,4,1,0,0,2.3,14.86,Muy Alto,Sierra,1
45,Estándar,21278.14,4,6,1,1,0,3.2,41.12,Medio,Selva,0
51,Preferente,0.0,5,4,1,1,0,1.2,37.93,Alto,Selva,0
19,Estándar,17196.56,4,9,0,0,0,4.7,32.0,Bajo,Selva,0
49,Estándar,0.0,5,8,1,1,0,1.4,44.0,Alto,Sierra,1
40,Estándar,38089.92,1,3,1,1,0,2.1,41.78,Medio,Costa,1
39,Premium,31661.11,2,13,0,1,0,1.4,36.41,Bajo,Costa,0
68,Estándar,27000.06,4,7,0,0,0,2.0,35.28,Bajo,Costa,1
42,Preferente,42815.09,4,9,1,1,1,4.4,35.41,Bajo,Sierra,0
39,Estándar,5766.25,2,4,1,1,0,3.5,40.44,Muy Alto,Costa,0
39,Estándar,46210.45,4,10,1,1,1,1.9,28.14,Medio,Sierra,0
66,Estándar,33982.87,4,6,1,1,4,4.5,38.41,Muy Alto,Sierra,0
69,Estándar,16451.67,5,9,0,1,1,4.2,27.64,Medio,Costa,0
59,Preferente,37034.3,5,9,1,1,2,4.0,45.69,Muy Alto,Selva,0
23,Estándar,3405.6,2,9,1,0,0,4.4,39.26,Medio,Sierra,0
32,Preferente,7632.29,1,11,1,1,1,3.5,29.49,Bajo,Selva,0
71,Preferente,10871.15,4,4,1,0,1,3.0,35.64,Bajo,Selva,0
60,Premium,12065.33,1,5,1,0,2,2.5,28.17,Muy Alto,Costa,0
54,Estándar,4151.64,2,2,1,1,0,1.9,47.03,Medio,Costa,0
50,Estándar,38346.25,2,7,1,0,0,3.2,47.98,Bajo,Costa,0
25,Estándar,16117.18,5,5,1,1,2,4.6,40.57,Bajo,Sierra,0
70,Premium,25287.57,4,8,1,1,0,3.4,47.45,Bajo,Sierra,0
61,Premium,11444.73,3,5,1,1,2,4.7,36.21,Alto,Selva,0
61,Estándar,0.0,2,6,1,1,0,2.4,41.11,Medio,Costa,0
22,Preferente,24050.86,4,5,1,0,1,3.8,44.8,Medio,Sierra,0
56,Estándar,0.0,1,2,1,1,1,3.6,34.95,Muy Alto,Selva,0
21,Preferente,18970.49,5,7,0,1,1,3.7,35.57,Medio,Sierra,0
23,Estándar,0.0,1,9,1,0,1,3.6,42.47,Alto,Costa,0
62,Preferente,49809.14,2,5,1,0,0,1.9,40.17,Medio,Sierra,0
49,Estándar,33670.44,2,5,1,0,0,1.6,28.96,Muy Alto,Costa,1
69,Preferente,21586.31,1,7,1,1,1,4.9,17.51,Bajo,Costa,0
47,Preferente,38955.6,2,4,0,1,0,1.2,33.6,Alto,Costa,0
64,Preferente,7305.26,4,9,1,0,0,2.9,18.22,Medio,Costa,0
52,Estándar,28152.19,2,1,0,1,0,2.7,27.07,Bajo,Sierra,0
72,Estándar,22997.16,5,9,0,0,0,2.4,28.01,Medio,Costa,0
57,Estándar,23960.3,4,1,1,1,0,4.1,30.45,Medio,Sierra,0
69,Estándar,39085.3,3,6,1,1,0,4.0,41.56,Bajo,Costa,0
33,Estándar,30987.38,2,5,1,0,1,4.6,43.3,Medio,Costa,0
30,Premium,24330.85,2,5,1,1,1,2.6,39.07,Muy Alto,Costa,0
67,Estándar,0.0,5,10,0,1,1,3.3,40.06,Medio,Costa,0
59,Estándar,5599.31,5,3,1,1,0,4.6,40.25,Medio,Costa,0
47,Estándar,18159.37,1,4,1,0,0,5.0,15.03,Bajo,Sierra,0
36,Estándar,21400.59,1,6,0,0,0,4.9,35.08,Bajo,Selva,0
34,Preferente,3046.94,1,10,1,0,0,3.9,20.63,Medio,Costa,0
73,Estándar,56175.15,5,8,1,1,0,1.6,39.07,Muy Alto,Costa,1
36,Premium,42745.91,1,7,1,1,1,1.1,18.26,Alto,Costa,0
45,Estándar,29031.77,1,4,1,0,0,4.3,33.56,Medio,Selva,0
72,Premium,21080.55,3,6,1,1,0,4.4,39.38,Medio,Sierra,0
43,Preferente,16816.87,1,6,1,0,0,4.0,26.06,Medio,Sierra,0
54,Estándar,5721.22,2,5,1,0,0,2.1,42.69,Medio,Costa,0
43,Premium,21162.21,5,4,0,1,0,3.6,39.05,Medio,Costa,0
70,Estándar,23866.29,4,4,1,0,0,2.3,38.05,Alto,Costa,0
40,Preferente,1373.59,3,5,0,0,1,2.8,40.58,Bajo,Selva,0
26,Estándar,25012.65,5,7,1,0,0,2.5,32.13,Muy Alto,Costa,0
29,Preferente,17671.11,5,5,1,1,0,4.7,36.22,Bajo,Sierra,0
70,Preferente,0.0,2,6,1,1,1,1.9,35.08,Medio,Sierra,0
18,Preferente,7094.22,1,8,0,1,0,3.3,34.9,Muy Alto,Sierra,0
18,Preferente,13795.92,2,5,1,1,0,2.4,29.62,Medio,Costa,0
64,Estándar,48315.31,1,4,0,1,1,3.7,25.06,Bajo,Sierra,0
51,Estándar,28348.3,1,6,1,0,1,3.3,32.31,Bajo,Costa,0
49,Estándar,0.0,5,7,1,1,0,4.7,31.86,Medio,Selva,1
71,Estándar,27290.54,1,7,1,1,0,1.4,29.11,Bajo,Costa,0
65,Preferente,0.0,3,8,0,1,2,1.9,41.82,Medio,Costa,0
42,Estándar,36240.37,3,9,1,1,0,4.1,25.62,Medio,Costa,1
57,Premium,12933.13,3,1,1,1,0,2.5,33.63,Alto,Selva,0
62,Preferente,18595.46,5,12,1,0,0,1.7,44.33,Bajo,Costa,0
70,Preferente,39886.95,2,3,1,1,0,3.0,42.27,Medio,Costa,1
18,Estándar,692.55,4,13,0,0,0,3.6,44.73,Medio,Costa,1
33,Preferente,0.0,1,7,1,1,1,1.2,30.27,Medio,Costa,0
56,Premium,11246.01,4,3,1,0,0,2.2,41.27,Bajo,Sierra,0
22,Estándar,35575.68,2,0,1,0,0,4.2,26.5,Medio,Costa,0
39,Preferente,0.0,2,12,1,1,0,3.1,32.79,Medio,Sierra,0
46,Preferente,0.0,5,4,0,0,0,1.1,33.55,Bajo,Sierra,1
72,Estándar,13232.62,3,2,1,1,1,2.1,30.39,Alto,Selva,1
20,Estándar,28276.11,3,8,0,1,1,3.6,32.11,Alto,Costa,0
29,Estándar,38003.93,2,3,1,1,0,1.8,31.05,Bajo,Costa,0
43,Estándar,13052.58,5,4,1,0,0,4.3,27.14,Medio,Selva,0
33,Estándar,13828.6,5,4,1,0,1,3.7,41.85,Medio,Sierra,0
68,Estándar,37308.51,1,6,1,0,0,2.9,33.54,Bajo,Costa,0
54,Estándar,0.0,3,9,0,1,0,4.7,36.61,Medio,Sierra,0
39,Estándar,14172.19,2,10,0,1,1,2.6,36.31,Muy Alto,Selva,0
74,Premium,22856.36,4,7,0,1,0,1.9,35.44,Medio,Costa,0
46,Estándar,26738.28,3,6,0,1,0,3.6,35.74,Muy Alto,Selva,0
31,Premium,12352.9,1,5,1,1,0,3.3,32.56,Medio,Costa,0
45,Estándar,20516.62,5,10,0,1,0,2.3,46.35,Bajo,Costa,0
22,Estándar,0.0,2,8,1,0,0,2.4,41.09,Bajo,Costa,1
64,Estándar,10126.27,3,5,1,0,1,2.6,35.15,Alto,Costa,0
66,Estándar,26802.63,4,8,1,0,1,2.2,31.42,Medio,Costa,0
47,Estándar,5265.59,1,6,1,0,0,3.8,34.05,Bajo,Selva,0
63,Preferente,20884.76,1,8,1,1,0,3.6,38.34,Medio,Sierra,0
69,Estándar,26703.09,3,8,0,1,1,2.8,47.0,Alto,Sierra,0
22,Preferente,14861.76,4,6,1,1,0,2.6,24.02,Alto,Sierra,0
29,Preferente,22556.96,1,5,1,1,1,2.5,40.28,Bajo,Costa,1
33,Estándar,5559.01,2,10,1,1,1,2.1,44.01,Bajo,Costa,0
43,Estándar,16900.83,1,4,0,1,0,1.3,23.11,Muy Alto,Selva,1
43,Preferente,29153.24,4,6,1,0,0,2.1,33.55,Alto,Sierra,0
65,Estándar,22354.59,5,10,0,0,1,2.3,26.48,Medio,Costa,0
38,Estándar,11202.03,5,6,1,0,1,3.2,38.44,Alto,Selva,0
56,Premium,23363.25,3,5,1,0,2,4.1,32.13,Bajo,Costa,0
53,Estándar,30719.15,4,11,1,1,1,2.6,33.96,Bajo,Selva,0
50,Preferente,0.0,1,6,1,1,1,4.8,31.71,Bajo,Selva,0
47,Premium,37386.11,1,7,1,0,0,4.3,40.76,Bajo,Costa,0
54,Estándar,14956.18,5,4,1,1,0,4.9,36.83,Alto,Costa,0
40,Estándar,26382.35,5,6,0,1,0,4.5,36.85,Medio,Selva,0
27,Estándar,37958.7,2,8,1,0,1,3.5,36.28,Bajo,Costa,0
71,Estándar,0.0,5,2,1,0,1,3.4,39.58,Alto,Costa,0
22,Estándar,9358.38,2,5,0,1,1,1.5,32.9,Alto,Costa,1
53,Preferente,15671.77,1,2,1,1,0,3.9,48.61,Bajo,Sierra,0
51,Estándar,8243.7,2,4,0,0,1,3.4,25.12,Medio,Sierra,0
69,Estándar,46024.05,2,8,0,0,0,3.0,21.19,Alto,Selva,0
48,Premium,7148.42,3,6,1,0,0,3.8,20.53,Alto,Selva,0
27,Preferente,11666.8,5,3,1,0,0,2.8,18.36,Alto,Selva,0
36,Preferente,23065.84,2,6,0,1,1,3.1,40.39,Bajo,Costa,0
49,Estándar,1967.76,1,5,1,0,0,2.6,39.41,Medio,Sierra,1
18,Preferente,14064.79,4,8,1,0,0,3.9,44.66,Alto,Costa,0
73,Estándar,24761.8,2,4,0,0,0,4.5,26.55,Alto,Costa,0
22,Estándar,15007.09,5,11,1,1,1,4.4,40.96,Bajo,Selva,1
62,Estándar,18599.2,3,9,1,0,0,4.1,35.45,Bajo,Costa,0
21,Preferente,12060.02,1,7,0,0,1,1.1,36.33,Alto,Selva,0
33,Estándar,0.0,3,4,1,1,0,4.6,40.0,Medio,Costa,0
41,Estándar,24823.9,4,8,0,1,0,2.1,28.95,Medio,Selva,0
33,Estándar,46324.0,2,8,1,0,1,4.6,55.7,Medio,Costa,0
72,Estándar,20276.02,2,3,1,0,1,1.8,45.66,Medio,Costa,0
19,Preferente,23378.96,5,9,0,1,1,2.8,30.75,Medio,Costa,0
66,Preferente,30390.84,2,4,1,1,4,4.0,26.27,Medio,Costa,0
45,Preferente,960.04,1,11,1,0,1,3.6,34.3,Bajo,Costa,1
49,Estándar,45537.72,4,7,1,0,1,2.7,36.46,Muy Alto,Selva,0
44,Estándar,23034.93,3,3,1,0,1,3.7,43.52,Muy Alto,Sierra,0
37,Estándar,44477.85,4,7,0,1,1,3.2,25.65,Muy Alto,Costa,0
41,Estándar,9004.51,2,4,1,1,0,2.1,37.28,Alto,Costa,0
29,Estándar,47270.93,3,4,1,1,1,3.6,22.77,Medio,Costa,0
67,Preferente,31627.33,5,7,1,1,0,1.8,38.49,Bajo,Costa,1
52,Estándar,28295.6,4,7,1,1,0,3.8,34.14,Bajo,Sierra,1
50,Estándar,23510.37,3,9,1,1,0,1.0,50.49,Bajo,Costa,0
50,Estándar,16272.07,3,10,1,1,2,3.2,22.63,Medio,Sierra,0
68,Estándar,38007.97,3,4,1,1,0,2.6,45.96,Medio,Costa,1
60,Estándar,22105.4,1,8,1,0,0,2.2,21.37,Muy Alto,Sierra,1
54,Premium,0.0,4,4,1,1,1,3.1,24.38,Medio,Sierra,0
29,Preferente,3242.2,3,7,0,1,0,3.6,21.58,Medio,Costa,0
20,Premium,17212.31,4,10,1,1,0,4.9,37.0,Medio,Selva,0
18,Estándar,24649.98,3,12,1,0,2,4.3,25.61,Bajo,Sierra,1
50,Estándar,19151.17,5,7,1,1,1,3.9,24.21,Muy Alto,Sierra,0
57,Estándar,38284.56,5,5,1,1,0,2.9,36.62,Medio,Costa,0
27,Estándar,0.0,5,7,0,1,0,2.6,38.61,Bajo,Selva,0
60,Preferente,22153.82,2,6,1,0,0,1.1,35.32,Muy Alto,Sierra,1
61,Estándar,0.0,3,9,0,1,0,2.4,33.7,Medio,Costa,0
46,Estándar,31395.68,2,9,1,0,1,4.4,49.63,Medio,Costa,0
30,Estándar,18583.12,4,4,1,1,0,2.5,36.17,Medio,Costa,0
29,Estándar,26294.15,2,4,1,1,0,2.8,41.45,Alto,Costa,0
48,Preferente,7041.76,4,4,1,0,0,2.1,36.14,Bajo,Selva,0
63,Estándar,39191.97,4,2,1,0,0,2.1,26.22,Alto,Costa,0
19,Estándar,35625.87,4,10,1,1,0,1.2,39.4,Muy Alto,Selva,0
68,Estándar,28753.16,2,8,1,0,2,3.5,29.75,Medio,Costa,0
67,Estándar,18057.24,3,2,0,1,0,2.8,34.27,Medio,Costa,0
52,Preferente,28697.86,2,4,1,1,1,3.4,37.44,Alto,Selva,0
40,Preferente,9396.61,3,14,1,0,0,3.2,19.47,Medio,Costa,0
34,Premium,32833.33,3,2,1,1,0,4.2,22.12,Muy Alto,Sierra,0
43,Preferente,44742.21,4,3,1,0,0,4.0,42.28,Medio,Selva,0
25,Estándar,36059.16,2,5,1,1,1,4.1,29.69,Medio,Selva,0
46,Preferente,9055.96,3,6,0,0,0,3.0,30.07,Medio,Selva,0
43,Estándar,25421.26,5,10,0,1,0,2.4,36.33,Medio,Selva,0
27,Estándar,602.88,3,3,1,1,2,4.7,31.91,Bajo,Sierra,0
43,Preferente,28585.85,5,7,0,1,1,1.2,38.34,Alto,Costa,0
51,Estándar,26759.05,2,4,0,0,0,1.6,34.59,Medio,Sierra,0
68,Premium,0.0,2,6,1,0,0,2.7,36.59,Alto,Selva,0
58,Estándar,2573.24,2,5,1,1,0,3.5,29.39,Bajo,Sierra,0
24,Preferente,15752.92,3,8,1,1,0,1.0,36.55,Medio,Costa,0
21,Preferente,15487.1,1,6,0,0,1,3.9,43.84,Alto,Sierra,0
70,Preferente,1857.85,3,1,1,0,0,3.2,30.46,Muy Alto,Sierra,0
67,Preferente,25834.68,3,5,1,0,1,2.9,42.32,Alto,Costa,0
62,Preferente,23772.1,4,9,1,1,0,2.7,34.59,Alto,Sierra,0
28,Estándar,17085.96,4,4,1,0,0,3.1,40.88,Bajo,Sierra,0
46,Estándar,8663.13,3,1,1,0,0,1.6,36.03,Alto,Sierra,1
73,Estándar,35730.61,5,4,1,0,0,1.4,34.73,Bajo,Costa,0
53,Preferente,44831.11,4,8,1,1,1,2.2,37.8,Bajo,Costa,0
42,Estándar,12746.58,3,6,1,0,1,3.8,44.71,Bajo,Sierra,0
38,Preferente,10817.5,1,6,1,1,0,3.4,36.89,Alto,Sierra,0
74,Estándar,27368.11,5,6,0,0,1,2.9,38.83,Bajo,Costa,1
53,Estándar,14629.56,2,2,1,1,2,3.3,32.05,Bajo,Costa,1
27,Preferente,17909.04,3,5,1,1,0,3.2,47.57,Bajo,Costa,0
54,Estándar,31094.8,3,10,1,0,1,2.2,40.12,Medio,Costa,0
26,Estándar,0.0,5,3,1,0,0,1.4,35.62,Alto,Selva,1
41,Estándar,39774.53,4,8,1,1,0,4.6,34.02,Medio,Sierra,0
52,Premium,21090.21,4,1,1,1,0,3.4,42.82,Medio,Selva,0
66,Preferente,13827.6,4,9,0,1,0,3.8,30.15,Bajo,Sierra,0
52,Estándar,18661.49,2,10,1,0,1,2.9,20.74,Bajo,Sierra,0
65,Estándar,19436.44,5,5,1,1,0,4.0,35.58,Bajo,Costa,0
53,Estándar,0.0,5,12,1,1,0,3.3,44.52,Medio,Sierra,0
35,Preferente,42424.07,4,2,1,1,0,1.2,47.73,Medio,Costa,0
66,Preferente,20619.88,4,5,1,1,0,4.6,34.14,Bajo,Sierra,0
56,Estándar,26645.03,1,3,1,1,0,2.2,35.35,Alto,Costa,1
49,Estándar,34273.25,1,5,1,0,0,1.6,39.16,Muy Alto,Costa,1
41,Estándar,4682.56,3,8,1,0,0,1.4,32.89,Bajo,Costa,1
40,Preferente,27102.08,3,3,1,1,0,3.9,39.13,Bajo,Selva,0
49,Preferente,15985.38,5,11,1,1,0,3.8,34.32,Alto,Costa,0
54,Estándar,32701.56,5,2,1,0,2,3.8,43.09,Bajo,Costa,0
29,Estándar,0.0,2,5,0,1,0,4.7,40.78,Medio,Selva,0
66,Estándar,18513.59,2,4,1,1,1,2.4,41.48,Medio,Sierra,0
72,Premium,10957.69,1,3,1,0,2,3.2,33.36,Muy Alto,Costa,0
30,Estándar,26483.94,3,9,1,0,0,3.5,50.41,Medio,Costa,0
